Timestamp,Course Number,Semester,DCID (EX: DC1233 or DCF2456),Assignment (Early or Late),"Assignment Type
(This is labeled in the data assignment spreadsheet).",CXT1,CXT1 Comments,CXT2a,CXT2a Comments,CXT2b,CXT2b Comments,CXT3,CXT3 Comments,CXT4a,CXT4a Comments,CXT4b,CXT 4b Comments,Overall Comments/Concerns,Coder,"Number of Pages
(Type the number of pages in the artifact. For instance, if an artifact has 12 pages, type 12.)"
6/1/2026 14:24,84389,S25,DC26052,Late,Final Paper,3,"The student identifies and justifies the approaches they used to analyze the ADF, as well as add on some explanations on the limitations of these approaches to analyzing the ADF. They connect it to the main body of the paper and incorporates relevant scholarly source material to connect these approaches/theories to the ADF. ",3,The student provides a lot of source materials that they used in the paper to talk about the ADF. The source materials are appropriate to the subject of study in the paper and are mostly rigor except for a few of the source materials. ,3,The student uses the source materials well in the paper by incorporating adequate information and context from these source materials and using reasonable interpretations from these source materials to support the student's major points in the paper with only a couple of minor omissions. ,1,The student does not really talk about how the ADF have changed over time from beyond the recent past. There was only a brief mention about when and why they were established. ,2,"The student identifies a couple of theories that they used to analyze the ADF, but doesn't talk about how these theories have changed or developed over time generally.",1.5,"The student talks about the gaps that current theories have in explaining the ADF as a terrorist or insurgency group, which shows their own way of thinking in the context of current theories today. However, the explanations of these connections feels more like slight acknowledgements or being very undeveloped. ",,Jerry,13
6/2/2026 12:00,84389,S25,DC26052,Late,Final Paper,3,,3,,3,,1,,2.5,,1.5,,artifact did not actually need to be reconciled,Reconciled Code,13
5/18/2026 13:29,82273,F24,DC26091,Early,Short Paper,2.5,"For each paragraph/question, the student does a good job of explaining their reasoning for their answers by providing evidence from the films to support the different factors that make a character appealing (or not appealing) in the films. The student justifies their approach to their opinions and connects it well to the context of the project. There are no other scholarly source materials used other than the film. The student also talks about the different methods used to analyze the film in the second-to-last paragraph but it felt more like the student was stating/identifying the methods rather than justifying their approaches. ",3,"The student used scenes from the film ""Tampopo"" to support their answers, which are appropriate to the instructions of the paper. The instructions for the paper didn't ask for the use of other source materials other than the film. Therefore the quantity of source material is appropriate for this paper.",3,"The student does an overall good job at using certain scenes from the film to justify his answers for each question in the paper. The student provided adequate information from the film by providing certain scenes and interpreted these scenes clearly to justify their position for each answer, such as why Tampopo is may be appealing to others but not for the student. ",3,"In the second paragraph, the student talks about how Tampopo reflects the ideal businesswoman of Japan in the 1980s and how that is different to a businesswoman in the US in the 2010's, which is 20 years from the 1980s. The student explains these differences mostly well through what Tampopo does in the film and relating it to the ideal Japanese businesswoman. However I do feel like more information about a businesswoman in the US can be explained relating to the differences to a Japanese businesswoman. ",2,"In the second-to-last paragraph of the paper, the student talks about the different methods used to analyze the film in the second-to-last paragraph but it felt more like the student was stating/identifying the methods rather than justifying their approaches. There was no explanation about how these methods change over time. ",2,"The student does incorporate their way of thinking into the paper. For instance, when talking about how the student will make Tampopo better if they were a screen writer, the student describes how they will make Tampopo more assertive and independent, incorporating their ideas into the character based on traditions from their culture. However, the connection between their thinking and tradition does feel a little underdeveloped. Additionally, the student reflected on some lingering questions about the movie and the reasons for them, briefly describing the differences in cultures and standards in American movies etc. Again, this connection feels underdeveloped. ",I accidentally coded this artifact even though it was assigned to me,Jerry,8
5/19/2026 13:48,82273,F24,DC26091,Early,Short Paper,1.5,"states the study, but is not framed around who, what, when, and what",3,The student uses appropriate and relevant sources from the film.,3,The student uses adequate sources from the film to support the major points.,2,"The student links this study to social phenomenon at the start of the essay, but does not go in depth.",2.5,The student describes some traditions and how these traditions influence people's way of thinking.,3,The student shows a strong opinion in this assignment and connects it to the tradition,,Grace,8
5/19/2026 21:53,82273,F24,DC26091,Early,Short Paper,2,The student answers the fundamental questions but doesn't use scholarly sources. ,1.5,"Does have an appropriate source for the topic but since there is only 1, I decided to give 1.5.",3,"As the ideas in the papers were built off from the information given in the film, majority of the major points were in the paper. ",0,The paper doesn't talk about the past. ,1.5,The idea did develop over time but it seemed like the connection between the idea became vague at the last half of the paper. ,1,"Rather than talking about the writer's thought, the paper listed the questions the writer had. ",,Noah,8
5/27/2026 0:16,84389,S26,DC26068,Early,Short Paper,3,The student describes how historical factors from the 1960s led to the establishment of the Houthis in Yemen. The student add additional information from relevant scholarly source material to connect these factors to one another. ,NA,,NA,,3,"The student goes back into the history of the Houthis from the 1960s and beyond to talk about the rise of the Houthis into what they are today, which is beyond the past 20 years. ",3,"When talking about the core grievances, beliefs and goals of the Houthis, the student explains the core grievances, beliefs and goals of the Houthis and describes how it has changed over time. ",NA,,,Jerry,4
5/29/2026 0:08,84389,S26,DC26068,Late,Short Paper,4,The student explains in depth the effectiveness of the different approaches used against the Houthis to weaken them by explaining the limitations of each of these approaches with relevant scholarly source material. ,NA,,NA,,0,The events that the student mentioned are all within the past 20 years. Therefore the student doesn't mention any other subject of study or events that is beyond the recent past. ,2,The student applies a couple of theories into the different methods against the Houthis and how the Houthis have been able to adapt against these methods. However the student doesn't really engage with how these theories/ideas have changed or developed over time. ,NA,,,Jerry,5
5/21/2026 15:28,82273,F24,DC26091,Early,Short Paper,2,,2,,3,,2,,2,,1,,,Reconciled Code,8
5/27/2026 5:56,84389,S25,DC26131,Late,Final Paper,2,The paper explains the fundamental questions about the main point of the paper only in the beginning. Topics talked about later in the paper are more like what happened than the fundamental questions. ,3,"The evidences chosen were rigor, highly related to the paper, and good in quantity wise. ",3,Almost all topics being talked about in the paper are built off from the evidences. Hence only has minor omissions. ,1,The paper is explaining about the war back in 1992-1995. The paper talks almost nothing about 1970s or earlier except for when explaining what has happened after WWII and it is not explained in details. The paper was more like talking about the background information. ,2.5,The idea did develop over time in the paper by going along with the timeline and looking in different perspectives. ,0.5,The student does not talks about how the student's way of thinking relates to the paper's ideas. ,,Noah,8
5/19/2026 0:56,82273,F24,DC26148,Early,Short Paper,1.5,claim mostly implied and not directly stated/clear,1.5,film still mainly used as primary source but not much other references to class materials,2,some scenes are well referenced but some others were briefly mentions / too broad,2.5,have consistent historical references and framing,2,a few traditions were mentioned but none really had how they developed ,2,have consistent personal reflextions throughout but not much on how those connects to cultural traditions,,Lulu,5
5/19/2026 20:00,82273,F24,DC26148,Early,Short Paper,2,"When asked about the methods used to analyze the film, the student identifies the different approaches/methods that they used to analyze the film. However the student doesn't do enough to justify why they used those methods in the last paragraph.",3,"The student used scenes from the film ""Tampopo"" to support their answers, which are appropriate to the instructions of the paper. The instructions for the paper didn't ask for the use of other source materials other than the film. Therefore the quantity of source materials is appropriate for this paper.",3,"The student provides adequate context for each of the scenes that they used to support their major points in their answers. The student's interpretations of those scenes were relevant to the context of the questions, thus supporting the most of the major points of each answer. ",3,"The student talks about differences of a successful professional woman in their modern-day culture and Japanese culture in the 1980s. The student explains these differences clearly and concisely, so the explanations are mostly comprehensive. However, there was a couple of missing analysis in these explanations as well. ",2,The student identifies the different cultural references made in the film when describing the character dynamics in the film. However the student doesn't explain how these cultural ideas change over time in Japan overall. ,2.5,The student incorporates their cultural beliefs of a successful professional woman from their modern-day culture into making Tampopo a more appealing character in today's society through cross-period comparative analysis. The connection between their thinking and the tradition is limited or lacks a little bit of clarity but the student does clearly explain how this connection influences their position. ,,Jerry,5
5/20/2026 10:23,82273,F24,DC26148,Early,Short Paper,2,Not too detailed,3,Film is the only source consistently mentioned throughout the paper,3,Film is referenced continuously throughout different points of the paper.,1.5,Only mentioned super briefly,2,Also mentioned super briefly,1.5,Also very brief,Overall it's a shorter paper in terms of length so a lot of points are very brief and could have been expanded upon,Henry,5
5/21/2026 17:19,82273,F24,DC26148,Early,Short Paper,2,,3,,3,,2,,2,,2,,,Reconciled Code,5
6/8/2026 13:24,82273,F24,DC26027,Late,Final Paper,2.5,,2,,3,,3,,2.5,,2,,artifact did not actually need to be reconciled,Reconciled Code,19
5/20/2026 0:33,82273,F24,DC26148,Late,Final Paper,3,"The student identifies 3 factors that will influence their analysis of hikikomori, framing in how and what questions. The student then uses background information from relevant scholarly source material to justify the approach for these 3 factors by motivating their potential effects to creating hikikomori. Eventually, the student will analyze these factors with their analysis of the book ""Welcome to the NHK"" as well as other sources to explore each of the factor's relationship with hikikomori and connect to the overall issue of hikikomori in Japan. ",3,"The student uses appropriate and relevant source materials to motivate the study of hikikomori. The student also included 5 different source materials, which is more than enough for the minimum requirement of the assignment. ",3.5,"The student provides a good amount of information from each of the source materials to support the major points of their hypothesis and the research questions/factors. Their interpretations of the source materials was also well explained for each major point. However, the student could have incorporated more source material to support their point when talking about the influence of economic stagnation on hikikomori. ",3,"The student does a good job explaining at how hikikomori was a result of the rapid economic growth of Japan after World War II, and the cultural and economic effects of the economic growth on the expectations of the younger generations from parents and society, which leads to the widespread issue of hikikomori in the 1980s and 1990s. ",3,"The student explores and explains the different cultural and social dynamics that contributes to hikikomori in Japan and talks about how these dynamics change throughout the period of post-WW2 and the 1990s. The student also talks about how these dynamics and factors have caused Japanese parents to think differently about what is defined as a successful child in their eyes, further explaining the development of Japanese ways of thinking over time. ",3,"The student reflects on how hikikomori is reflected in other East Asian countries like China, which is the culture that the student comes from, and more broadly explores how the pressure of meeting cultural and social expectations affect the younger generations mentally, leading to social issues such as hikikomori. The student clearly explains their own way of thinking and connects it to the cultural and social factors explored in their discussions of the study results, influencing his way of thinking about people dealing with hikikomori such as having more empathy for them. ",,Jerry,15
5/20/2026 1:03,82273,F24,DC26148,Late,Final Paper,3,clearly stated the questions and claims within context ,2.5,good amount of peer reviewed academic sources on top on the primary source,2.5,sources are used and cited consistently but analysis feels more like summary than well applied,2.5,"had a lot of analysis and well applied within context (postwar, WWII)",2,mention of traditional values like conformity and more,3,"had good reflection of their own and applied well in the paper, their chinese background and how it shifted",,Lulu,15
5/20/2026 13:05,82273,F24,DC26148,Late,Final Paper,3.5,The student tackles the topic from a variety of perspectives that provides a bigger picture. There is also scholarly sources provided.,3,The student provides a variety of sources that support their claim throughout the paper,3.5,Sources are referenced to when needed to support the paper.,2.5,"While the student does meet the criteria, I think there was so much more potential to include more specific information that would strengthen the paper even more. ",3,Multiple traditions are described as well as how they have evolved over time in the context of the subject,3.5,I think the conclusion portion was very well written as the student included their own thoughts while summarizing the points they had investigated on. ,,Henry,15
5/19/2026 1:41,82273,F24,DC26170,Early,Short Paper,2,good framing of the subject within context,2,"use of film and other references, uses time stamps ",3,"really detailed/precise use of film scenes, uses timestamps, good analysis",3,use of 1980s context and other cultural references and contrasts with present day culture,2,cultural traditions are mentioned and used but not that much in detail,3,detailed personal reflection and good connections to the rest of the paper throughout ,,Lulu,7
5/19/2026 22:59,82273,F24,DC26170,Early,Short Paper,2,The student states the methods and approaches that they used to analyze the film. However they don't justify their reasons for these approaches or talk about how these factors influence their analysis of the film.,3,"The student used scenes from the film ""Tampopo"" to support their answers, which are appropriate to the instructions of the paper. The instructions for the paper didn't ask for the use of other source materials other than the film. Therefore the quantity of source materials is appropriate for this paper.",2.5,"The student provides adequate context from the film in their answers to support the major points for each question. However, for some of the questions, the student doesn't provide any specific scenes to support their answers, so it didn't feel like there was adequate information to support their answers. ",1.5,"The student does talk about the cultural differences between a modern day ideal woman in Chinese culture and a 1980s ideal Japanese woman and the different traits they have. Additionally, the student talks about the differences in modern day male heroes in Chinese films compared to Goro. However, there is a lack of depth with the explanations when talking about the relationship between the past and the present that feels like a passing acknowledgement but not at the same time. ",2,The student identifies the different cultural traditions that was used to analyze the characters of the film but doesn't talk about how these traditions have changed over time in Japanese culture. ,1,"When talking about how the student will make Tampopo better as a character, the student states their thinking but doesn't explain clearly how their cultural beliefs affects their reasoning for these adjustments. ",,Jerry,7
5/20/2026 11:10,82273,F24,DC26170,Early,Short Paper,2,States factors but no scholarly evidence,3,,3,"Film is continuously referred to throughout the paper, with exact timestamps to provide more accuracy.",1.5,It is mentioned but only briefly.,2,We see a strong contrast between cultures established as a tradition but there are not super strong connections on the development of thought,2.5,There were more connections to personal thinking compared to other papers but still not fully developed,,Henry,7
5/21/2026 17:26,82273,F24,DC26170,Early,Short Paper,2,,3,,3,,1.5,,2,,2.5,,,Reconciled Code,7
6/8/2026 12:55,82273,F24,DC26148,Late,Final Paper,3,,3,,3,,2.5,,2.5,,3,,artifact did not actually needed to be reconciled,Reconciled Code,15
